,datetime,headline,url
0,1541520747,Erdogan Champions Khashoggi While Trampling Journalists and Dissidents in Turkey,https://www.nytimes.com/2018/11/06/world/europe/erdogan-khashoggi-turkey.html?rref=collection%2Fsectioncollection%2Fworld
1,1541587767,"Cameroon Students Have Been Released, Officials Say",https://www.nytimes.com/2018/11/07/world/africa/cameroon-kidnapped-students-released.html?rref=collection%2Fsectioncollection%2Fworld
2,1541584807,Dry Spell: Canada Runs Low on Legal Marijuana Just Weeks After Its Approval,https://www.nytimes.com/2018/11/07/world/canada/canada-marijuana-shortage.html?rref=collection%2Fsectioncollection%2Fworld
3,1541529385,"As Famine Looms in Yemen, Saudi-Led Coalition Redoubles Attacks",https://www.nytimes.com/2018/11/06/world/middleeast/famine-yemen-saudi-arabia-hudaydah.html?rref=collection%2Fsectioncollection%2Fworld
4,1541474477,The Nauru Experience: Zero-Tolerance Immigration and Suicidal Children,https://www.nytimes.com/2018/11/05/world/australia/nauru-island-asylum-refugees-children-suicide.html?rref=collection%2Fsectioncollection%2Fworld
5,1541580343,Philippine Lawyer Who Resisted Duterte’s Drug War Is Gunned Down,https://www.nytimes.com/2018/11/07/world/asia/philippine-lawyer-duterte.html?rref=collection%2Fsectioncollection%2Fworld
6,1541536215,"Ex-Guard, 94, at Nazi Camp Is Tried in German Juvenile Court",https://www.nytimes.com/2018/11/06/world/europe/germany-nazi-trial-johann-rehbogen.html?rref=collection%2Fsectioncollection%2Fworld
7,1541521423,A ‘Legacy of Terror’: ISIS Left More Than 200 Mass Graves in Iraq,https://www.nytimes.com/2018/11/06/world/middleeast/iraq-isis-mass-graves.html?rref=collection%2Fsectioncollection%2Fworld
8,1541517537,Facebook Admits It Was Used to Incite Violence in Myanmar,https://www.nytimes.com/2018/11/06/technology/myanmar-facebook.html?rref=collection%2Fsectioncollection%2Fworld
9,1541513702,Taliban Pummel Security Forces Across Afghanistan,https://www.nytimes.com/2018/11/06/world/asia/afghanistan-taliban-attacks.html?rref=collection%2Fsectioncollection%2Fworld
10,1541559813,Geoffrey Rush’s Defamation Trial Becomes a #MeToo Reckoning for Australia,https://www.nytimes.com/2018/11/06/world/australia/geoffrey-rush-metoo-defamation.html?rref=collection%2Fsectioncollection%2Fworld
11,1541496540,Suicides Among Japanese Children Reach Highest Level in 3 Decades,https://www.nytimes.com/2018/11/06/world/asia/japan-suicide-children.html?rref=collection%2Fsectioncollection%2Fworld
12,1541498407,"Fight Against Last Vestige of ISIS in Syria Stalls, to Dismay of U.S.",https://www.nytimes.com/2018/11/06/world/middleeast/isis-syria.html?rref=collection%2Fsectioncollection%2Fworld
13,1541498990,What Do North Korean Gymnastics Say About Kim Jong-un’s Politics?,https://www.nytimes.com/2018/11/06/world/asia/north-korea-mass-games-xi-jinping.html?rref=collection%2Fsectioncollection%2Fworld
14,1541404749,Bare Knuckle Bouts in Madagascar? ‘It Is About More Than the Fighting’,https://www.nytimes.com/2018/11/05/world/africa/madagascar-moraingy.html?rref=collection%2Fspotlightcollection%2Fdispatches-international
15,1541318347,It’s Dinnertime in the Amazon. Look at What’s on the Chef’s Menu.,https://www.nytimes.com/2018/11/04/world/americas/bolivia-caiman-tacana.html?rref=collection%2Fspotlightcollection%2Fdispatches-international
16,1541094086,"In Venice Floods, Tourists Frolic as Locals Fear for Treasures",https://www.nytimes.com/2018/11/01/world/europe/venice-flooding-tourists-tourism.html?rref=collection%2Fspotlightcollection%2Fdispatches-international
